yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2022-09-18,139.42,0.0,0.0,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2022-09-25,87.07,62.04,18.52,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-10-02,45.29,65.28,18.42,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2022-10-09,144.34,76.5,10.69,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2022-10-16,105.9,70.09,17.18,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-10-23,148.61,57.81,17.54,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2022-10-30,109.08,0.0,0.0,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2022-11-06,160.89,59.83,10.9,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2022-11-13,125.38,0.0,0.0,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2022-11-20,163.72,71.69,9.97,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-11-27,78.33,65.19,8.93,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-12-04,90.41,0.0,0.0,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2022-12-11,121.84,0.0,0.0,0.36,1095,P1,P103,P103056,칸쵸,종로영업소
2022-12-18,98.12,65.55,7.01,0.43,1095,P1,P103,P103056,칸쵸,종로영업소
2022-12-25,124.94,0.0,0.0,0.44,1095,P1,P103,P103056,칸쵸,종로영업소
2023-01-01,109.93,62.23,10.33,0.45,1095,P1,P103,P103056,칸쵸,종로영업소
2023-01-08,170.65,52.91,10.23,0.43,1095,P1,P103,P103056,칸쵸,종로영업소
2023-01-15,221.40989359993938,0.0,0.0,0.43,1095,P1,P103,P103056,칸쵸,종로영업소
2023-01-22,85.32,0.0,0.0,0.43,1095,P1,P103,P103056,칸쵸,종로영업소
2023-01-29,78.02,61.52,10.59,0.41,1095,P1,P103,P103056,칸쵸,종로영업소
2023-02-05,150.85,55.76,12.82,0.42,1095,P1,P103,P103056,칸쵸,종로영업소
2023-02-12,147.67,0.0,0.0,0.44,1095,P1,P103,P103056,칸쵸,종로영업소
2023-02-19,105.0,59.9,10.67,0.45,1095,P1,P103,P103056,칸쵸,종로영업소
2023-02-26,62.62,0.0,0.0,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2023-03-05,52.97,55.12,16.51,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2023-03-12,143.51,0.0,0.0,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2020-06-28,-0.33,83.5,2.91,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-07-05,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-07-12,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-07-19,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-07-26,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-08-02,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-08-09,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-08-16,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-08-23,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-08-30,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-09-06,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-09-13,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-09-20,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-09-27,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-10-04,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-10-11,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-10-18,-0.42,52.3,14.16,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-10-25,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-11-01,-0.17,52.1,15.27,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-11-08,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-11-15,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-11-22,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-11-29,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-12-06,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-12-13,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-12-20,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2020-12-27,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-01-03,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-01-10,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-01-17,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-01-24,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-01-31,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-02-07,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-02-14,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-02-21,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-02-28,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-03-07,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-03-14,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-03-21,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-03-28,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
2021-04-04,84.41979775168544,0.0,0.0,0.0,1095,P1,P103,P103054,칙촉,종로영업소
