yymmdd,qty,SP1,브랜드
2020-10-25,54.59375,종로영업소,말랑카우
2020-11-01,25.25,종로영업소,말랑카우
2020-11-08,49.96875,종로영업소,말랑카우
2020-11-15,61.40625,종로영업소,말랑카우
2020-11-22,70.875,종로영업소,말랑카우
2020-11-29,32.9375,종로영업소,말랑카우
2020-12-06,48.15625,종로영업소,말랑카우
2020-12-13,134.375,종로영업소,말랑카우
2020-12-20,58.90625,종로영업소,말랑카우
2020-12-27,29.90625,종로영업소,말랑카우
2021-01-03,35.40625,종로영업소,말랑카우
2021-01-10,77.5,종로영업소,말랑카우
2021-01-17,50.4375,종로영업소,말랑카우
2021-01-24,64.375,종로영업소,말랑카우
2021-01-31,57.09375,종로영업소,말랑카우
2021-02-07,91.0625,종로영업소,말랑카우
2021-02-14,31.90625,종로영업소,말랑카우
2021-02-21,100.5625,종로영업소,말랑카우
2021-02-28,32.25,종로영업소,말랑카우
2021-03-07,47.5625,종로영업소,말랑카우
2021-03-14,91.0,종로영업소,말랑카우
2021-03-21,54.0625,종로영업소,말랑카우
2021-03-28,37.4375,종로영업소,말랑카우
2021-04-04,46.34375,종로영업소,말랑카우
2021-04-11,74.0,종로영업소,말랑카우
2021-04-18,34.8125,종로영업소,말랑카우
2021-04-25,71.9375,종로영업소,말랑카우
2021-05-02,98.3125,종로영업소,말랑카우
2021-05-09,79.9375,종로영업소,말랑카우
2021-05-16,34.75,종로영업소,말랑카우
2021-05-23,44.90625,종로영업소,말랑카우
2021-05-30,55.3125,종로영업소,말랑카우
2021-06-06,67.375,종로영업소,말랑카우
2021-06-13,42.90625,종로영업소,말랑카우
2021-06-20,71.8125,종로영업소,말랑카우
2021-06-27,89.375,종로영업소,말랑카우
2021-07-04,56.4375,종로영업소,말랑카우
2021-07-11,61.0625,종로영업소,말랑카우
2021-07-18,51.5,종로영업소,말랑카우
2021-07-25,57.90625,종로영업소,말랑카우
2021-08-01,10.453125,종로영업소,말랑카우
2021-08-08,71.4375,종로영업소,말랑카우
2021-08-15,29.25,종로영업소,말랑카우
2021-08-22,58.8125,종로영업소,말랑카우
2021-08-29,46.5625,종로영업소,말랑카우
2021-09-05,109.625,종로영업소,말랑카우
2021-09-12,59.84375,종로영업소,말랑카우
2021-09-19,81.625,종로영업소,말랑카우
2021-09-26,68.25,종로영업소,말랑카우
2021-10-03,24.34375,종로영업소,말랑카우
2021-10-10,125.125,종로영업소,말랑카우
2021-10-17,39.34375,종로영업소,말랑카우
