y,ds,str_cd,prod_cd
3,2020-05-16,110438,46145000
5,2020-05-17,110438,46145000
11,2020-05-18,110438,46145000
5,2020-05-19,110438,46145000
11,2020-05-20,110438,46145000
17,2020-05-21,110438,46145000
8,2020-05-22,110438,46145000
5,2020-05-23,110438,46145000
13,2020-05-25,110438,46145000
9,2020-05-26,110438,46145000
3,2020-05-27,110438,46145000
4,2020-05-28,110438,46145000
8,2020-05-29,110438,46145000
6,2020-05-30,110438,46145000
9,2020-05-31,110438,46145000
10,2020-06-01,110438,46145000
10,2020-06-02,110438,46145000
7,2020-06-03,110438,46145000
2,2020-06-04,110438,46145000
9,2020-06-05,110438,46145000
11,2020-06-06,110438,46145000
5,2020-06-07,110438,46145000
7,2020-06-08,110438,46145000
8,2020-06-09,110438,46145000
1,2020-06-10,110438,46145000
5,2020-06-11,110438,46145000
7,2020-06-12,110438,46145000
10,2020-06-13,110438,46145000
4,2020-06-15,110438,46145000
6,2020-06-16,110438,46145000
10,2020-06-17,110438,46145000
9,2020-06-18,110438,46145000
14,2020-06-19,110438,46145000
11,2020-06-20,110438,46145000
9,2020-06-21,110438,46145000
0,2020-06-22,110438,46145000
12,2020-06-23,110438,46145000
9,2020-06-24,110438,46145000
11,2020-06-25,110438,46145000
6,2020-06-26,110438,46145000
11,2020-06-27,110438,46145000
12,2020-06-29,110438,46145000
5,2020-06-30,110438,46145000
8,2020-07-01,110438,46145000
9,2020-07-02,110438,46145000
14,2020-07-03,110438,46145000
8,2020-07-04,110438,46145000
7,2020-07-05,110438,46145000
8,2020-07-06,110438,46145000
9,2020-07-07,110438,46145000
10,2020-07-08,110438,46145000
8,2020-07-09,110438,46145000
5,2020-07-10,110438,46145000
14,2020-07-11,110438,46145000
6,2020-07-13,110438,46145000
15,2020-07-14,110438,46145000
4,2020-07-15,110438,46145000
4,2020-07-16,110438,46145000
8,2020-07-17,110438,46145000
11,2020-07-18,110438,46145000
4,2020-07-19,110438,46145000
3,2020-07-20,110438,46145000
11,2020-07-21,110438,46145000
17,2020-07-22,110438,46145000
12,2020-07-23,110438,46145000
21,2020-07-24,110438,46145000
15,2020-07-25,110438,46145000
21,2020-07-27,110438,46145000
15,2020-07-28,110438,46145000
12,2020-07-29,110438,46145000
9,2020-07-30,110438,46145000
10,2020-07-31,110438,46145000
15,2020-08-01,110438,46145000
11,2020-08-02,110438,46145000
7,2020-08-03,110438,46145000
16,2020-08-04,110438,46145000
7,2020-08-05,110438,46145000
4,2020-08-06,110438,46145000
13,2020-08-07,110438,46145000
13,2020-08-08,110438,46145000
11,2020-08-10,110438,46145000
9,2020-08-11,110438,46145000
17,2020-08-12,110438,46145000
5,2020-08-13,110438,46145000
4,2020-08-14,110438,46145000
